City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,la tuque,47.4334,-72.7824,262.29,73,100,5.14,CA,1736375712
137,cochin,9.9399,76.2602,296.14,84,50,2.28,IN,1736375713
138,kudahuvadhoo,2.6708,72.8944,300.79,74,29,4.85,MV,1736375714
139,new norfolk,-42.7826,147.0587,292.99,41,100,1.18,AU,1736375716
140,uacu cungo,-11.3634,15.1208,288.91,97,61,0.93,AO,1736375717
141,ust-nera,64.5667,143.2,239.57,98,96,1.2,RU,1736375718
142,laayoune,27.1622,-13.2032,291.34,63,100,5.14,EH,1736375719
143,tionk essil,12.7856,-16.5217,297.71,37,38,2.1,SN,1736375720
144,college,64.8569,-147.8028,261.12,68,75,0.0,US,1736375721
145,chui,-33.6971,-53.4616,291.21,78,0,3.32,UY,1736375722
146,broken hill,-31.95,141.4333,302.49,26,81,8.26,AU,1736375725
147,bamboo flat,11.7,92.7167,300.2,78,40,0.51,IN,1736375726
148,ar ruways,24.1103,52.7306,290.87,63,1,5.67,AE,1736375727
149,san antonio de pale,-1.4014,5.6325,299.67,83,48,2.51,GQ,1736375728
150,uige,-7.6087,15.0613,292.25,99,96,0.62,AO,1736375730
151,fort bragg,35.139,-79.006,277.06,41,0,3.09,US,1736375731
152,cockburn town,21.4612,-71.1419,297.64,78,61,6.47,TC,1736375596
153,birobidzhan,48.8,132.95,259.28,93,100,1.31,RU,1736375733
154,kerikeri,-35.2268,173.9474,296.15,48,21,2.23,NZ,1736375734
155,saudarkrokur,65.7461,-19.6394,259.56,90,18,5.91,IS,1736375735
156,portel,-1.9356,-50.8211,297.42,94,88,1.69,BR,1736375737
157,utrik,11.2278,169.8474,299.97,84,7,9.5,MH,1736375738
158,erdenet,49.0333,104.0833,250.72,100,43,1.05,MN,1736375739
159,halden,59.1226,11.3871,262.11,98,63,1.41,NO,1736375740
160,kununurra,-15.7667,128.7333,301.14,89,51,1.03,AU,1736375589
161,zapala,-38.8992,-70.0544,298.84,19,0,10.6,AR,1736375742
162,sabang,5.8933,95.3214,300.3,76,84,5.12,ID,1736375743
163,tatsinskiy,48.1968,41.2756,276.48,72,91,5.08,RU,1736375745
164,howrah,22.5892,88.3103,287.15,88,0,3.6,IN,1736375746
165,al qadarif,14.0349,35.3834,296.71,33,7,4.1,SD,1736375747
166,luderitz,-26.6481,15.1594,289.31,79,1,7.32,NA,1736375748
167,essaouira,31.5125,-9.77,286.87,76,3,1.03,MA,1736375749
168,zheshart,62.0731,49.5733,269.16,95,100,4.29,RU,1736375752
169,smithers,54.7804,-127.1743,274.33,100,100,2.06,CA,1736375753
170,hasaki,35.7333,140.8333,280.49,54,9,6.52,JP,1736375754
171,hami,42.8,93.45,266.64,59,17,2.94,CN,1736375755
172,arno,60.1167,18.6333,273.86,99,100,2.91,SE,1736375756
173,thompson,55.7435,-97.8558,264.24,92,100,2.57,CA,1736375758
174,el jadid,33.2549,-8.506,287.54,82,3,3.91,MA,1736375759
175,rongelap,11.1635,166.8941,300.54,81,12,10.05,MH,1736375760
176,sao vicente,-23.9631,-46.3919,294.81,26,100,4.73,BR,1736375761
177,naberezhnyye chelny,55.7561,52.4289,273.64,93,100,8.9,RU,1736375762
178,isafjordur,66.0755,-23.124,263.61,70,0,3.55,IS,1736375763
179,yanchep,-31.55,115.6833,290.92,65,17,1.85,AU,1736375764
180,iwaki,37.05,140.8833,277.77,46,8,4.79,JP,1736375730
181,tirhanimine,35.2362,-3.9545,287.57,57,60,1.37,MA,1736375767
182,imbituba,-28.24,-48.6703,294.21,77,99,3.39,BR,1736375768
183,jinchang,38.4953,102.1739,266.3,49,60,2.33,CN,1736375769
184,kavieng,-2.5744,150.7967,302.19,72,74,3.34,PG,1736375770
185,victoria,22.2855,114.1577,289.4,76,30,4.47,HK,1736375674
186,mana,5.6592,-53.7767,297.92,80,93,3.77,GF,1736375772
187,busselton,-33.65,115.3333,289.43,63,90,4.15,AU,1736375774
188,sault ste. marie,46.5168,-84.3333,259.31,43,0,2.57,CA,1736375775
189,afaahiti,-17.75,-149.2833,299.63,75,70,5.14,PF,1736375776
190,lompoc,34.6391,-120.4579,293.55,27,0,4.12,US,1736375777
191,nova sintra,14.8667,-24.7167,296.93,72,0,8.48,CV,1736375778
192,santee,32.8384,-116.9739,296.35,21,0,6.17,US,1736375588
193,wenling,28.3669,121.36,278.39,62,85,6.93,CN,1736375781
194,westport,41.1415,-73.3579,268.89,50,15,5.81,US,1736375717
195,longyearbyen,78.2186,15.6401,269.06,74,75,6.69,SJ,1736375783
196,lyuban',52.7985,28.0048,274.59,77,100,5.85,BY,1736375784
197,sarandi grande,-33.7333,-56.3333,298.27,35,1,7.02,UY,1736375785
198,mejit,10.2753,170.8646,300.07,79,46,10.71,MH,1736375786
199,revda,56.801,59.9303,270.59,92,100,5.75,RU,1736375788
200,wenshui,28.4506,106.5267,275.23,100,100,0.22,CN,1736375789
201,lisala,2.15,21.5167,296.43,62,77,1.01,CD,1736375790
